# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
166.154	5.10526	210.527
166.154	7.15789	158.442
166.154	9.21053	119.318
166.154	11.2632	88.2324
166.154	13.3158	62.2738
166.154	15.3684	40.1417
166.154	17.4211	20.7448
166.154	19.4737	3.40372
166.154	21.5263	-0.665388
166.154	23.5789	-0.574173
166.154	25.6316	-0.500673
166.154	27.6842	-0.414901
166.154	29.7368	-0.330801
166.154	31.7895	-0.215425
166.154	33.8421	-0.205007
166.154	35.8947	-0.127966
166.154	37.9474	-0.0546247
166.154	40	0

178.462	1	463.002
178.462	3.05263	291.119
178.462	5.10526	211.79
178.462	7.15789	159.296
178.462	9.21053	120.154
178.462	11.2632	88.9099
178.462	13.3158	62.8964
178.462	15.3684	40.6749
178.462	17.4211	21.1558
178.462	19.4737	3.87791
178.462	21.5263	-0.267077
178.462	23.5789	-0.206393
178.462	25.6316	-0.162866
178.462	27.6842	-0.13803
178.462	29.7368	-0.115202
178.462	31.7895	-0.0935983
178.462	33.8421	-0.0388288
178.462	35.8947	-0.0369249
178.462	37.9474	-0.0178273
178.462	40	0

190.769	1	465.114
190.769	3.05263	292.109
190.769	5.10526	212.557
190.769	7.15789	159.916
190.769	9.21053	120.615
190.769	11.2632	89.3313
190.769	13.3158	63.2829
190.769	15.3684	40.9344
190.769	17.4211	21.4287
190.769	19.4737	4.07814
190.769	21.5263	-0.0600966
190.769	23.5789	-0.0408896
190.769	25.6316	-0.0392919
190.769	27.6842	-0.0377579
190.769	29.7368	-0.0362931
190.769	31.7895	-0.0178081
190.769	33.8421	0
190.769	35.8947	0
190.769	37.9474	0
190.769	40	0

203.077	1	466.842
203.077	3.05263	293.033
203.077	5.10526	212.874
203.077	7.15789	160.177
203.077	9.21053	120.841
203.077	11.2632	89.4751
203.077	13.3158	63.4174
203.077	15.3684	41.063
203.077	17.4211	21.5362
203.077	19.4737	4.16025
203.077	21.5263	0
203.077	23.5789	0
203.077	25.6316	0
203.077	27.6842	0
203.077	29.7368	0
203.077	31.7895	0
203.077	33.8421	0
203.077	35.8947	0
203.077	37.9474	0
203.077	40	0

215.385	1	467.334
215.385	3.05263	293.238
215.385	5.10526	213.012
215.385	7.15789	160.293
215.385	9.21053	120.96
215.385	11.2632	89.5745
215.385	13.3158	63.458
215.385	15.3684	41.0931
215.385	17.4211	21.5362
215.385	19.4737	4.16025
215.385	21.5263	0
215.385	23.5789	0
215.385	25.6316	0
215.385	27.6842	0
215.385	29.7368	0
215.385	31.7895	0
215.385	33.8421	0
215.385	35.8947	0
215.385	37.9474	0
215.385	40	0

227.692	1	467.334
227.692	3.05263	293.238
227.692	5.10526	213.012
227.692	7.15789	160.293
227.692	9.21053	120.96
227.692	11.2632	89.5745
227.692	13.3158	63.458
227.692	15.3684	41.0931
227.692	17.4211	21.5362
227.692	19.4737	4.16025
227.692	21.5263	0
227.692	23.5789	0
227.692	25.6316	0
227.692	27.6842	0
227.692	29.7368	0
227.692	31.7895	0
227.692	33.8421	0
227.692	35.8947	0
227.692	37.9474	0
227.692	40	0

240	1	467.334
240	3.05263	293.238
240	5.10526	213.012
240	7.15789	160.293
240	9.21053	120.96
240	11.2632	89.5745
240	13.3158	63.458
240	15.3684	41.0931
240	17.4211	21.5362
240	19.4737	4.16025
240	21.5263	0
240	23.5789	0
240	25.6316	0
240	27.6842	0
240	29.7368	0
240	31.7895	0
240	33.8421	0
240	35.8947	0
240	37.9474	0
240	40	0

